Subject,Number,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Total Students,Average GPA,Variance
AAS,100,Intro Asian American Studies,487,1204,471,315,271,113,61,58,19,12,15,13,39,12,3078,3.5691228070175427,0.3538993387679042
AAS,105,Intro to Arab Am Studies,10,7,3,2,0,0,0,1,0,0,1,0,0,0,24,3.6945833333333336,0.49940815972222224
AAS,120,Intro to Asian Am Pop Culture,26,136,108,93,104,49,36,32,11,6,10,1,2,5,614,3.2276547231270363,0.5229128872603492
AAS,200,U.S. Race and Empire,7,7,3,1,0,2,1,0,0,0,0,0,0,0,21,3.714761904761905,0.2568439909297052
AAS,211,Asian Americans and the Arts,3,20,12,2,4,3,2,1,0,3,0,0,2,0,52,3.3338461538461535,0.560984046426946
AAS,215,US Citizenship Comparatively,6,22,22,14,12,14,3,5,4,2,1,2,4,1,111,3.075765765765766,0.6513907182566058
AAS,246,Asian American Youth in Film,6,93,23,6,16,4,2,1,2,0,0,0,0,2,153,3.7194117647058818,0.2396316801230296
AAS,258,Muslims in America,7,70,54,7,0,3,1,0,1,0,0,0,1,1,144,3.7604166666666665,0.11209056592399692
AAS,287,Food and Asian Americans,12,141,6,11,5,4,3,0,0,0,0,0,1,1,183,3.84327868852459,0.12441552846567187
AAS,315,"War, Memory, and Cinema",0,7,6,5,4,5,1,0,0,0,0,0,0,0,28,3.3696428571428565,0.2644820153061224
AAS,365,Asian American Media and Film,7,19,6,4,6,1,6,3,3,0,0,1,2,0,58,3.2012068965517235,0.7038511091065645
ABE,100,Intro Agric & Biological Engrg,0,282,0,0,105,0,0,14,0,0,6,0,3,0,410,3.602439024390244,0.3884508785420989
ABE,141,ABE Principles: Biological,25,102,79,55,34,15,9,6,4,3,4,0,7,1,343,3.41332361516035,0.3918838611254751
ABE,199,Water in the Global Environ,2,18,0,1,0,0,0,0,0,0,0,0,0,0,21,3.968095238095238,0.020358276643990925
ABE,221,Agric & Biological Engrg I,0,33,0,14,13,0,2,1,0,0,0,0,0,0,63,3.56,0.2645333333333333
ABE,222,Agric & Biological Engrg II,3,17,19,15,19,8,1,6,2,4,0,0,2,0,96,3.1357291666666662,0.507728689010055
ABE,223,ABE Principles: Machine Syst,13,255,47,24,91,12,10,29,2,2,6,2,0,2,493,3.4971399594320487,0.5043348221963472
ABE,224,ABE Principles: Soil & Water,54,281,39,40,48,2,8,12,6,1,5,0,7,5,503,3.627554671968191,0.3555992484288134
ABE,225,ABE Principles: Bioenvironment,12,58,34,47,73,10,3,11,2,0,2,0,6,1,258,3.2609302325581395,0.3410332591260308
