Subject,Number,Primary Instructor,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Total Students,Average GPA,Variance,F_cum,D-_cum,D_cum,D+_cum,C-_cum,C_cum,C+_cum,B-_cum,B_cum,B+_cum,A-_cum,A_cum,A+_cum,25PCT,25_percent,75PCT,75_percent,12.5PCT,12.5_percent,87.5PCT,87.5_percent
AAS,100,"Arai, Sayuri",Intro Asian American Studies,13,41,15,10,10,5,4,0,0,0,0,0,0,0,98,3.643061224,0.24119267,0,0,0,0,0,0,4.081632653,9.183673469,19.3877551,29.59183673,44.89795918,86.73469388,100,B+_cum,3.33,A_cum,4,B_cum,3,A+_cum,4
AAS,100,"Arnaldo, Constancio",Intro Asian American Studies,1,128,57,24,22,7,3,5,2,0,2,1,2,1,254,3.593700787,0.330382483,0.787401575,1.181102362,1.968503937,1.968503937,2.755905512,4.724409449,5.905511811,8.661417323,17.32283465,26.77165354,49.21259843,99.60629921,100,B+_cum,3.33,A_cum,4,B_cum,3,A_cum,4
AAS,100,"Atienza, Paul Michael L",Intro Asian American Studies,6,33,5,1,6,2,2,2,2,0,0,1,1,0,61,3.503114754,0.569234348,1.639344262,3.278688525,3.278688525,3.278688525,6.557377049,9.836065574,13.1147541,16.39344262,26.2295082,27.86885246,36.06557377,90.16393443,100,B_cum,3,A_cum,4,C+_cum,2.33,A_cum,4
AAS,100,"Carter, Regina S",Intro Asian American Studies,11,25,6,2,0,0,0,0,0,2,0,1,0,0,47,3.744893617,0.507216478,0,2.127659574,2.127659574,6.382978723,6.382978723,6.382978723,6.382978723,6.382978723,6.382978723,10.63829787,23.40425532,76.59574468,100,A_cum,4,A_cum,4,A-_cum,3.67,A+_cum,4
AAS,100,"Chung, Ga Young",Intro Asian American Studies,68,56,11,13,9,3,3,2,2,0,0,1,0,0,168,3.748035714,0.291595546,0,0.595238095,0.595238095,0.595238095,1.785714286,2.976190476,4.761904762,6.547619048,11.9047619,19.64285714,26.19047619,59.52380952,100,A-_cum,3.67,A+_cum,4,B+_cum,3.33,A+_cum,4
AAS,100,"Davis, Thomas E",Intro Asian American Studies,75,129,13,23,24,8,6,1,2,0,1,0,0,2,282,3.73751773,0.251964051,0,0,0.354609929,0.354609929,1.063829787,1.418439716,3.546099291,6.382978723,14.89361702,23.04964539,27.65957447,73.40425532,100,A-_cum,3.67,A+_cum,4,B_cum,3,A+_cum,4
AAS,100,"Espiritu, Augusto F",Intro Asian American Studies,2,17,0,6,5,0,1,0,0,0,1,0,0,0,32,3.5721875,0.42579834,0,0,3.125,3.125,3.125,3.125,6.25,6.25,21.875,40.625,40.625,93.75,100,B+_cum,3.33,A_cum,4,B_cum,3,A_cum,4
AAS,100,"Kang, Yoonjung",Intro Asian American Studies,16,20,20,13,18,6,6,6,2,3,0,3,5,0,118,3.101949153,0.674532279,4.237288136,6.779661017,6.779661017,9.322033898,11.01694915,16.10169492,21.18644068,26.27118644,41.52542373,52.54237288,69.49152542,86.44067797,100,B-_cum,2.67,A_cum,4,C_cum,2,A+_cum,4
AAS,100,"Kim, Sujung",Intro Asian American Studies,20,29,11,6,0,0,1,0,0,0,0,0,0,0,67,3.860895522,0.080354422,0,0,0,0,0,0,1.492537313,1.492537313,1.492537313,10.44776119,26.86567164,70.14925373,100,A-_cum,3.67,A+_cum,4,A-_cum,3.67,A+_cum,4
AAS,100,"Kinase-Leggett, Elizabeth",Intro Asian American Studies,28,38,22,10,22,4,2,0,0,0,0,0,4,2,130,3.533692308,0.210174634,3.076923077,3.076923077,3.076923077,3.076923077,3.076923077,3.076923077,4.615384615,7.692307692,24.61538462,32.30769231,49.23076923,78.46153846,100,B+_cum,3.33,A_cum,4,B_cum,3,A+_cum,4
