Fall,College,Term Code,Department,Major Code,Total,Male,Female,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,All African American,All Asian,Legacy Advising Code,Legacy Department Code,YearTotal,StudentsPer100
1980,ACES,0,0,14337,3616,1933,1683,11,3240,62,64,25,21,0,0,193,0,0,148308,147457,21542,16.78581376
1980,Applied Health Sciences,0,0,0,744,266,478,3,675,4,35,5,4,0,0,18,0,0,57870,57870,21542,3.453718318
1980,Applied Life Sciences,0,0,698,46,18,28,2,33,1,3,1,0,0,0,6,0,0,7210,7210,21542,0.213536348
1980,Aviation,0,0,487,194,170,24,1,3,5,1,181,3,0,0,8,0,0,15630,15630,21542,0.900566336
1980,Business,0,0,1531,2285,2828,1845,15,2807,111,204,45,16,0,0,207,0,0,35435,35435,21542,10.60718596
1980,Education,0,0,0,1583,449,1134,35,1332,19,67,25,11,0,0,94,0,0,38414,38414,21542,7.348435614
1980,Engineering,0,0,1834,5127,4445,810,14,4387,279,142,68,16,0,0,399,0,0,113979,116052,21542,23.80001857
1980,Fine and Applied Arts,0,0,310,2737,1439,1298,21,2450,72,57,30,10,0,0,97,0,0,79766,79766,21542,12.70541268
1980,LAS,0,0,4957,3128,1982,1146,40,2604,213,263,91,10,0,0,304,0,0,167006,168696,21542,14.52047164
1980,Labor and Industrial Relations,0,0,0,79,47,32,1,29,64,1,8,5,0,0,50,0,0,6010,6010,21542,0.366725467
1980,Law,0,0,0,639,468,171,2,578,1,22,10,1,0,0,25,0,0,9030,9030,21542,2.966298394
1980,Media,0,0,5164,470,164,306,2,15,2,11,428,12,0,0,49,0,0,14046,14046,21542,2.181784421
1980,Social Work,0,0,730,315,69,246,1,279,3,15,8,2,0,0,7,0,0,13620,13620,21542,1.462259772
1980,VetMed,0,0,1913,437,261,176,1,401,3,2,2,1,0,0,27,0,0,22057,22057,21542,2.028595302
1980,iSchool,0,0,0,142,34,108,1,8,3,2,126,2,0,0,43,0,0,7410,7410,21542,0.659177421
1981,ACES,0,0,14294,3634,1933,1701,22,3237,65,63,29,14,0,0,204,0,0,142621,142277,22855,15.90024065
1981,Applied Health Sciences,0,0,0,759,290,469,8,687,5,32,1,1,0,0,25,0,0,50620,50620,22855,3.320936338
1981,Applied Life Sciences,0,0,349,39,15,24,2,30,0,2,0,0,0,0,5,0,0,3605,3605,22855,0.170640998
1981,Aviation,0,0,487,165,153,12,2,4,159,2,1,1,0,0,161,0,0,15630,15630,22855,0.721942682
1981,Business,0,0,1531,3408,2825,2016,12,2893,134,198,65,9,0,0,227,0,0,35435,35435,22855,14.91139794
1981,Education,0,0,0,1590,421,1169,46,1303,31,62,33,8,0,0,107,0,0,38414,38414,22855,6.95690221
1981,Engineering,0,0,1844,5202,4440,896,12,4479,314,132,73,10,0,0,347,0,0,116231,118304,22855,22.76088383
1981,Fine and Applied Arts,0,0,310,2785,1452,1333,18,2458,91,64,32,8,0,0,114,0,0,79766,79766,22855,12.18551739
1981,LAS,0,0,5265,3184,1984,1200,53,2577,233,261,95,12,0,0,377,0,0,166952,168642,22855,13.93130606
1981,Labor and Industrial Relations,0,0,0,64,40,24,2,43,3,57,21,2,0,0,0,0,0,6010,6010,22855,0.280026252
1981,Law,0,0,0,645,451,194,23,569,21,595,76,6,0,0,0,0,0,9030,9030,22855,2.822139576
