Fall,College,Major Name,Term Code,Department,Major Code,Total,Male,Female,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,All African American,All Asian,Legacy Advising Code,Legacy Department Code,Year Total,StudentsPerPop,StudentsPer100
1980,ACES,Agr & Environmental Cmc & Educ,0,0,0,5,4,1,0,4,0,0,0,0,0,0,1,0,0,1545,1545,21542,0.00023210473,0.023210473
1980,ACES,Agricultural & Applied Econ,0,0,0,315,277,38,0,282,3,4,1,1,0,0,24,0,0,4515,4515,21542,0.01462259772,1.462259772
1980,ACES,Agricultural Communications,0,0,0,79,31,48,0,78,0,0,0,1,0,0,0,0,0,3090,3090,21542,0.00366725467,0.366725467
1980,ACES,Agricultural Education,0,0,0,26,21,5,0,25,0,1,0,0,0,0,0,0,0,1545,1545,21542,0.00120694457,0.120694457
1980,ACES,Agricultural Engineering,0,0,0,83,75,8,0,79,1,1,1,0,0,0,1,0,0,1510,1510,21542,0.00385293845,0.385293845
1980,ACES,Agricultural Sciences,0,0,0,81,57,24,0,77,2,2,0,0,0,0,0,0,0,1501,1501,21542,0.00376009656,0.376009656
1980,ACES,Agronomy,0,0,0,173,133,40,0,156,2,2,1,1,0,0,11,0,0,3030,3030,21542,0.00803082351,0.803082351
1980,ACES,Animal Sciences,0,0,0,487,245,242,1,450,4,13,3,3,0,0,13,0,0,4605,4605,21542,0.02260700028,2.260700028
1980,ACES,Application Design,0,0,0,11,0,11,0,11,0,0,0,0,0,0,0,0,0,1560,1560,21542,0.00051063040,0.05106304
1980,ACES,CORE CURR,0,0,0,158,124,34,0,155,0,2,0,1,0,0,0,0,0,1501,1501,21542,0.00733450933,0.733450933
1980,ACES,DAIRY SCI,0,0,0,51,39,12,0,45,0,0,0,1,0,0,5,0,0,3070,3070,21542,0.00236746820,0.23674682
1980,ACES,DIETETICS,0,0,0,32,0,32,0,31,0,0,0,1,0,0,0,0,0,1550,1550,21542,0.00148547024,0.148547024
1980,ACES,EXT EDUC,0,0,0,13,5,8,2,9,0,1,0,0,0,0,1,0,0,1545,1545,21542,0.00060347229,0.060347229
1980,ACES,FAM&CON EC,0,0,0,20,0,20,0,14,1,2,0,0,0,0,3,0,0,1505,1505,21542,0.00092841890,0.09284189
1980,ACES,Food Science & Human Nutrition,0,0,0,209,82,127,1,155,10,6,2,1,0,0,34,0,0,9300,9300,21542,0.00970197753,0.970197753
1980,ACES,Forestry,0,0,0,124,95,29,0,115,2,0,1,2,0,0,4,0,0,3120,3120,21542,0.00575619720,0.57561972
1980,ACES,GEN AGR,0,0,0,74,57,17,0,72,1,0,1,0,0,0,0,0,0,1501,1501,21542,0.00343514994,0.343514994
1980,ACES,GEN AGRIC,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1501,1501,21542,0.00004642095,0.004642095
1980,ACES,GEN H ECON,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,1565,1565,21542,0.00023210473,0.023210473
1980,ACES,H DVL-FAM,0,0,0,36,0,36,0,33,0,3,0,0,0,0,0,0,0,1545,1545,21542,0.00167115402,0.167115402
1980,ACES,HOME EC ED,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1501,1501,21542,0.00004642095,0.004642095
